transaction_id,account_id,amount,transaction_date,transaction_type,merchant
TXN_0000000001,ACC_00000001,10.59,2024-03-11,Deposit,
TXN_0000000002,ACC_00000001,155.75,2024-09-12,Deposit,
TXN_0000000003,ACC_00000001,13.87,2025-04-01,Deposit,
TXN_0000000004,ACC_00000001,-154.45,2023-10-25,Payment,Costco
TXN_0000000005,ACC_00000001,20.29,2024-07-03,Deposit,
TXN_0000000006,ACC_00000001,-477.3,2024-12-01,Withdrawal,
TXN_0000000007,ACC_00000001,-100.89,2025-01-11,Payment,Shell
TXN_0000000008,ACC_00000001,-42.77,2024-10-15,Payment,Target
TXN_0000000009,ACC_00000001,33.87,2025-04-07,Deposit,
TXN_0000000010,ACC_00000001,-108.66,2023-12-12,Payment,Home Depot
TXN_0000000011,ACC_00000001,77.13,2024-02-20,Deposit,
TXN_0000000012,ACC_00000001,-159.1,2024-06-16,Payment,Costco
TXN_0000000013,ACC_00000001,-30.08,2023-08-16,Payment,Shell
TXN_0000000014,ACC_00000001,-69.92,2025-04-24,Payment,Amazon
TXN_0000000015,ACC_00000001,-10.55,2023-10-22,Payment,Walmart
TXN_0000000016,ACC_00000001,-126.16,2023-12-30,Payment,Costco
TXN_0000000017,ACC_00000001,-42.74,2024-02-08,Withdrawal,
TXN_0000000018,ACC_00000001,-11.55,2023-12-03,Payment,McDonalds
TXN_0000000019,ACC_00000001,-58.52,2025-05-08,Payment,Shell
TXN_0000000020,ACC_00000001,-30.38,2023-09-08,Payment,Costco
TXN_0000000021,ACC_00000001,33.85,2025-01-10,Deposit,
TXN_0000000022,ACC_00000001,-16.33,2025-05-10,Withdrawal,
TXN_0000000023,ACC_00000001,-66.98,2024-07-19,Withdrawal,
TXN_0000000024,ACC_00000001,78.93,2024-04-03,Deposit,
TXN_0000000025,ACC_00000001,-208.53,2024-02-24,Payment,Walmart
TXN_0000000026,ACC_00000001,-77.2,2025-08-17,Withdrawal,
TXN_0000000027,ACC_00000001,32.67,2023-06-17,Deposit,
TXN_0000000028,ACC_00000001,-31.86,2023-05-03,Payment,Shell
TXN_0000000029,ACC_00000001,90.92,2024-10-13,Deposit,
TXN_0000000030,ACC_00000001,-47.89,2024-05-14,Payment,Costco
TXN_0000000031,ACC_00000001,24.6,2024-10-10,Deposit,
TXN_0000000032,ACC_00000001,-200.59,2023-12-07,Payment,Costco
TXN_0000000033,ACC_00000001,-94.43,2024-01-01,Payment,Amazon
TXN_0000000034,ACC_00000001,-0.08,2025-05-26,Withdrawal,
TXN_0000000035,ACC_00000001,106.24,2023-05-24,Deposit,
TXN_0000000036,ACC_00000001,-11.74,2023-07-12,Withdrawal,
TXN_0000000037,ACC_00000001,27.64,2024-09-10,Deposit,
TXN_0000000038,ACC_00000005,-13.23,2024-06-24,Payment,Amazon
TXN_0000000039,ACC_00000005,-4.01,2023-10-22,Payment,Target
TXN_0000000040,ACC_00000005,-10.64,2024-11-16,Payment,Amazon
TXN_0000000041,ACC_00000005,-51.8,2024-01-18,Payment,Amazon
TXN_0000000042,ACC_00000005,59.32,2023-10-27,Deposit,
TXN_0000000043,ACC_00000005,2.54,2024-10-04,Deposit,
TXN_0000000044,ACC_00000005,-74.09,2024-01-16,Withdrawal,
TXN_0000000045,ACC_00000005,0.45,2024-08-06,Deposit,
TXN_0000000046,ACC_00000005,-13.66,2024-02-11,Payment,Costco
TXN_0000000047,ACC_00000005,45.99,2024-04-15,Deposit,
TXN_0000000048,ACC_00000005,3.41,2025-03-26,Deposit,
TXN_0000000049,ACC_00000005,-95.26,2024-04-26,Payment,McDonalds
TXN_0000000050,ACC_00000006,-29.7,2025-08-05,Payment,Amazon
TXN_0000000051,ACC_00000006,-61.2,2025-03-18,Withdrawal,
TXN_0000000052,ACC_00000006,-68.56,2025-08-05,Withdrawal,
TXN_0000000053,ACC_00000006,-131.43,2025-06-25,Payment,Starbucks
TXN_0000000054,ACC_00000006,-2.35,2025-04-29,Payment,McDonalds
TXN_0000000055,ACC_00000006,-27.01,2025-04-07,Payment,Amazon
TXN_0000000056,ACC_00000006,-62.03,2025-07-21,Withdrawal,
TXN_0000000057,ACC_00000006,-100.44,2025-06-17,Payment,Starbucks
TXN_0000000058,ACC_00000006,-73.19,2025-07-04,Withdrawal,
TXN_0000000059,ACC_00000006,-58.83,2025-07-17,Withdrawal,
TXN_0000000060,ACC_00000006,-5.69,2025-03-29,Payment,Amazon
TXN_0000000061,ACC_00000006,18.54,2025-07-24,Deposit,
TXN_0000000062,ACC_00000006,158.8,2025-03-18,Deposit,
TXN_0000000063,ACC_00000006,-91.59,2025-06-02,Payment,Costco
TXN_0000000064,ACC_00000006,-21.73,2025-08-11,Payment,Walmart
TXN_0000000065,ACC_00000006,-177.3,2025-06-05,Payment,Target
TXN_0000000066,ACC_00000006,96.95,2025-08-02,Deposit,
TXN_0000000067,ACC_00000006,23.81,2025-03-30,Deposit,
TXN_0000000068,ACC_00000006,56.64,2025-03-29,Deposit,
TXN_0000000069,ACC_00000006,-19.11,2025-08-07,Payment,Shell
TXN_0000000070,ACC_00000006,49.15,2025-07-05,Deposit,
TXN_0000000071,ACC_00000006,-90.35,2025-07-05,Payment,Walmart
TXN_0000000072,ACC_00000006,2.92,2025-08-07,Deposit,
TXN_0000000073,ACC_00000006,-30.66,2025-03-28,Payment,Starbucks
TXN_0000000074,ACC_00000006,-153.7,2025-08-15,Payment,Home Depot
TXN_0000000075,ACC_00000006,-22.22,2025-06-26,Payment,Shell
TXN_0000000076,ACC_00000006,-198.46,2025-03-17,Withdrawal,
TXN_0000000077,ACC_00000006,9.48,2025-06-15,Deposit,
TXN_0000000078,ACC_00000006,-174.81,2025-03-29,Payment,Costco
TXN_0000000079,ACC_00000007,-17.52,2025-11-12,Payment,Costco
TXN_0000000080,ACC_00000007,-27.22,2025-11-12,Payment,Amazon
TXN_0000000081,ACC_00000007,-105.52,2025-11-12,Withdrawal,
TXN_0000000082,ACC_00000007,-168.54,2025-11-12,Payment,Shell
TXN_0000000083,ACC_00000007,-87.24,2025-11-12,Payment,Starbucks
TXN_0000000084,ACC_00000007,-206.98,2025-11-12,Payment,McDonalds
TXN_0000000085,ACC_00000007,34.33,2025-11-12,Deposit,
TXN_0000000086,ACC_00000007,-24.08,2025-11-12,Payment,Walmart
TXN_0000000087,ACC_00000007,-160.31,2025-11-12,Payment,Amazon
TXN_0000000088,ACC_00000007,52.7,2025-11-12,Deposit,
TXN_0000000089,ACC_00000007,26.68,2025-11-12,Deposit,
TXN_0000000090,ACC_00000007,65.04,2025-11-12,Deposit,
TXN_0000000091,ACC_00000007,-43.1,2025-11-12,Payment,Costco
TXN_0000000092,ACC_00000007,-48.46,2025-11-12,Withdrawal,
