enrollment_id,student_id,course_id,semester,final_grade,letter_grade,attendance_rate,assignment_scores,midterm_score,final_exam_score
ENROLL_00000001,STU_000001,COURSE_000118,Summer 2025,2.93,B,0.65,0.67,0.32,0.72
ENROLL_00000002,STU_000001,COURSE_000003,Fall 2024,2.48,B-,0.87,0.81,0.74,1.0
ENROLL_00000003,STU_000001,COURSE_000045,Fall 2024,3.28,B+,0.91,0.73,0.75,0.92
ENROLL_00000004,STU_000001,COURSE_000092,Spring 2025,2.95,B,0.89,0.81,1.0,1.0
ENROLL_00000005,STU_000001,COURSE_000103,Summer 2025,3.57,A-,0.68,0.82,0.77,0.93
ENROLL_00000006,STU_000001,COURSE_000109,Fall 2024,2.45,B-,0.82,0.91,0.95,0.75
ENROLL_00000007,STU_000002,COURSE_000022,Spring 2025,4.0,A,0.61,1.0,1.0,0.69
ENROLL_00000008,STU_000002,COURSE_000017,Fall 2024,3.69,A-,0.99,1.0,0.77,0.66
ENROLL_00000009,STU_000002,COURSE_000053,Summer 2025,3.72,A,0.52,0.78,1.0,0.49
ENROLL_00000010,STU_000002,COURSE_000049,Summer 2025,4.0,A,0.75,0.86,0.84,0.63
ENROLL_00000011,STU_000003,COURSE_000026,Spring 2025,3.12,B+,0.66,0.84,1.0,0.86
ENROLL_00000012,STU_000003,COURSE_000122,Spring 2025,2.32,B-,0.88,0.62,0.54,1.0
ENROLL_00000013,STU_000003,COURSE_000095,Summer 2025,2.79,B,0.84,0.65,0.6,0.92
ENROLL_00000014,STU_000004,COURSE_000065,Spring 2025,2.81,B,0.66,0.59,0.79,0.72
ENROLL_00000015,STU_000004,COURSE_000083,Summer 2025,2.95,B,0.97,0.68,1.0,0.55
ENROLL_00000016,STU_000004,COURSE_000077,Summer 2025,2.91,B,0.63,1.0,0.37,0.77
ENROLL_00000017,STU_000004,COURSE_000032,Summer 2025,2.97,B,0.67,0.58,0.56,0.69
ENROLL_00000018,STU_000004,COURSE_000097,Fall 2024,3.67,A-,1.0,1.0,0.79,1.0
ENROLL_00000019,STU_000005,COURSE_000058,Spring 2025,3.32,A-,0.83,1.0,0.75,0.78
ENROLL_00000020,STU_000005,COURSE_000109,Fall 2024,3.17,B+,0.77,0.52,0.71,1.0
ENROLL_00000021,STU_000005,COURSE_000055,Fall 2024,3.76,A,0.96,0.69,0.8,0.64
ENROLL_00000022,STU_000005,COURSE_000087,Summer 2025,3.23,B+,0.65,0.58,0.83,0.87
ENROLL_00000023,STU_000005,COURSE_000017,Fall 2024,3.62,A-,1.0,0.85,0.73,0.83
ENROLL_00000024,STU_000005,COURSE_000101,Summer 2025,3.16,B+,0.78,0.69,0.86,0.71
ENROLL_00000025,STU_000006,COURSE_000062,Spring 2025,2.26,C+,0.95,1.0,0.87,1.0
ENROLL_00000026,STU_000006,COURSE_000103,Summer 2025,2.4,B-,0.96,0.81,0.93,0.88
ENROLL_00000027,STU_000006,COURSE_000029,Summer 2025,2.42,B-,0.83,1.0,0.95,0.68
ENROLL_00000028,STU_000007,COURSE_000109,Fall 2024,1.74,C,0.74,0.52,0.7,0.4
ENROLL_00000029,STU_000007,COURSE_000104,Summer 2025,2.06,C+,0.8,0.68,0.75,0.65
ENROLL_00000030,STU_000007,COURSE_000033,Spring 2025,2.27,C+,1.0,0.65,0.83,0.78
ENROLL_00000031,STU_000007,COURSE_000123,Spring 2025,2.71,B,0.69,0.85,0.91,0.31
ENROLL_00000032,STU_000008,COURSE_000037,Fall 2024,2.57,B-,0.85,0.54,0.21,1.0
ENROLL_00000033,STU_000008,COURSE_000012,Spring 2025,2.67,B-,0.92,0.69,0.72,0.72
ENROLL_00000034,STU_000008,COURSE_000049,Summer 2025,3.32,A-,0.85,1.0,0.5,0.86
ENROLL_00000035,STU_000009,COURSE_000040,Spring 2025,3.11,B+,0.79,0.88,0.61,0.76
ENROLL_00000036,STU_000009,COURSE_000075,Summer 2025,3.32,A-,0.77,0.75,0.64,0.74
ENROLL_00000037,STU_000009,COURSE_000021,Spring 2025,2.84,B,0.95,0.83,0.45,0.63
ENROLL_00000038,STU_000009,COURSE_000011,Summer 2025,3.01,B+,0.82,0.48,0.73,0.69
ENROLL_00000039,STU_000009,COURSE_000106,Spring 2025,3.12,B+,0.81,0.62,0.9,1.0
ENROLL_00000040,STU_000009,COURSE_000090,Fall 2024,2.52,B-,1.0,1.0,0.73,1.0
ENROLL_00000041,STU_000009,COURSE_000024,Fall 2024,2.95,B,0.92,0.65,0.88,0.81
ENROLL_00000042,STU_000010,COURSE_000027,Spring 2025,4.0,A,0.86,1.0,0.79,0.68
ENROLL_00000043,STU_000010,COURSE_000076,Spring 2025,3.77,A,0.81,1.0,0.54,0.69
ENROLL_00000044,STU_000010,COURSE_000053,Summer 2025,4.0,A,0.88,0.85,0.8,0.83
ENROLL_00000045,STU_000011,COURSE_000073,Summer 2025,2.69,B-,0.78,0.91,0.6,0.93
ENROLL_00000046,STU_000011,COURSE_000019,Summer 2025,2.6,B-,1.0,0.8,0.61,0.81
ENROLL_00000047,STU_000011,COURSE_000114,Summer 2025,2.38,B-,0.47,0.74,0.78,0.77
ENROLL_00000048,STU_000012,COURSE_000080,Summer 2025,3.37,A-,1.0,0.71,0.57,0.74
ENROLL_00000049,STU_000012,COURSE_000090,Fall 2024,3.51,A-,0.88,0.94,0.6,0.81
ENROLL_00000050,STU_000012,COURSE_000049,Summer 2025,3.38,A-,0.63,0.79,0.49,0.93
ENROLL_00000051,STU_000012,COURSE_000042,Summer 2025,2.74,B,0.73,0.72,0.87,0.92
ENROLL_00000052,STU_000012,COURSE_000010,Spring 2025,3.42,A-,0.69,0.71,0.53,0.79
ENROLL_00000053,STU_000013,COURSE_000038,Fall 2024,2.3,C+,0.78,0.71,1.0,1.0
ENROLL_00000054,STU_000013,COURSE_000041,Spring 2025,3.15,B+,0.81,0.75,0.61,0.86
ENROLL_00000055,STU_000013,COURSE_000111,Spring 2025,2.42,B-,0.99,0.7,0.76,1.0
ENROLL_00000056,STU_000013,COURSE_000004,Spring 2025,1.93,C,0.77,0.59,0.62,0.95
ENROLL_00000057,STU_000013,COURSE_000029,Summer 2025,2.47,B-,0.98,0.72,1.0,0.49
ENROLL_00000058,STU_000014,COURSE_000063,Summer 2025,3.32,A-,0.66,0.92,0.57,0.58
ENROLL_00000059,STU_000014,COURSE_000024,Fall 2024,3.94,A,0.78,0.91,0.47,0.63
ENROLL_00000060,STU_000014,COURSE_000106,Spring 2025,3.23,B+,0.77,0.96,0.6,0.63
ENROLL_00000061,STU_000014,COURSE_000124,Spring 2025,3.29,B+,0.7,0.33,0.83,0.6
ENROLL_00000062,STU_000015,COURSE_000059,Spring 2025,3.48,A-,0.9,0.96,0.62,1.0
ENROLL_00000063,STU_000015,COURSE_000015,Fall 2024,3.56,A-,0.79,0.41,1.0,0.72
ENROLL_00000064,STU_000015,COURSE_000062,Spring 2025,3.08,B+,1.0,0.79,0.82,1.0
ENROLL_00000065,STU_000016,COURSE_000099,Spring 2025,3.56,A-,0.9,0.68,0.98,0.92
ENROLL_00000066,STU_000016,COURSE_000014,Spring 2025,3.49,A-,0.89,1.0,0.53,1.0
ENROLL_00000067,STU_000016,COURSE_000098,Spring 2025,3.29,B+,0.71,0.94,0.48,0.73
ENROLL_00000068,STU_000016,COURSE_000057,Spring 2025,4.0,A,1.0,0.87,0.69,0.82
ENROLL_00000069,STU_000016,COURSE_000113,Spring 2025,4.0,A,0.79,1.0,0.62,0.77
ENROLL_00000070,STU_000017,COURSE_000006,Summer 2025,3.05,B+,0.7,0.85,1.0,0.63
ENROLL_00000071,STU_000017,COURSE_000002,Summer 2025,2.28,C+,0.77,1.0,0.59,0.69
ENROLL_00000072,STU_000017,COURSE_000082,Summer 2025,3.2,B+,1.0,0.72,0.74,0.77
ENROLL_00000073,STU_000017,COURSE_000106,Spring 2025,3.05,B+,0.69,0.55,0.92,0.54
ENROLL_00000074,STU_000017,COURSE_000020,Summer 2025,3.49,A-,0.97,1.0,0.84,0.76
ENROLL_00000075,STU_000017,COURSE_000104,Summer 2025,3.09,B+,0.57,0.69,0.88,0.57
ENROLL_00000076,STU_000018,COURSE_000123,Spring 2025,3.66,A-,0.84,0.73,1.0,0.79
ENROLL_00000077,STU_000018,COURSE_000068,Fall 2024,3.98,A,0.94,0.77,0.61,0.86
ENROLL_00000078,STU_000018,COURSE_000120,Summer 2025,3.73,A,0.82,0.61,0.86,0.71
ENROLL_00000079,STU_000018,COURSE_000041,Spring 2025,4.0,A,0.67,1.0,0.88,0.85
ENROLL_00000080,STU_000018,COURSE_000095,Summer 2025,3.82,A,0.87,0.82,0.39,1.0
ENROLL_00000081,STU_000018,COURSE_000002,Summer 2025,3.44,A-,1.0,0.94,0.77,0.58
ENROLL_00000082,STU_000018,COURSE_000042,Summer 2025,3.87,A,0.72,0.7,0.75,0.95
ENROLL_00000083,STU_000019,COURSE_000015,Fall 2024,3.54,A-,0.89,0.5,0.8,0.74
ENROLL_00000084,STU_000019,COURSE_000072,Spring 2025,2.94,B,0.95,0.6,0.75,0.64
ENROLL_00000085,STU_000019,COURSE_000036,Spring 2025,3.27,B+,0.57,0.96,1.0,0.87
ENROLL_00000086,STU_000019,COURSE_000082,Summer 2025,3.61,A-,1.0,0.89,1.0,1.0
ENROLL_00000087,STU_000019,COURSE_000032,Summer 2025,3.08,B+,0.76,0.79,0.92,0.68
ENROLL_00000088,STU_000019,COURSE_000110,Spring 2025,3.23,B+,0.89,0.75,0.6,0.94
ENROLL_00000089,STU_000019,COURSE_000010,Spring 2025,2.96,B,0.97,0.42,0.98,0.67
ENROLL_00000090,STU_000020,COURSE_000067,Fall 2024,2.76,B,0.85,0.82,0.63,0.94
ENROLL_00000091,STU_000020,COURSE_000104,Summer 2025,3.16,B+,0.94,0.91,0.68,0.63
ENROLL_00000092,STU_000020,COURSE_000015,Fall 2024,3.56,A-,0.67,0.86,1.0,1.0
ENROLL_00000093,STU_000020,COURSE_000033,Spring 2025,2.98,B,0.6,0.9,0.81,0.96
ENROLL_00000094,STU_000021,COURSE_000040,Spring 2025,2.72,B,1.0,0.75,0.81,0.65
ENROLL_00000095,STU_000021,COURSE_000033,Spring 2025,2.64,B-,0.9,0.91,0.65,0.86
ENROLL_00000096,STU_000021,COURSE_000088,Summer 2025,2.82,B,0.75,0.57,0.7,0.7
ENROLL_00000097,STU_000021,COURSE_000100,Spring 2025,2.5,B-,0.62,0.86,0.56,0.72
ENROLL_00000098,STU_000021,COURSE_000016,Spring 2025,2.96,B,1.0,0.96,0.87,1.0
ENROLL_00000099,STU_000022,COURSE_000056,Summer 2025,4.0,A,0.99,1.0,0.85,0.75
ENROLL_00000100,STU_000022,COURSE_000019,Summer 2025,4.0,A,0.9,1.0,1.0,1.0
ENROLL_00000101,STU_000022,COURSE_000092,Spring 2025,3.88,A,0.73,0.82,1.0,0.85
ENROLL_00000102,STU_000022,COURSE_000010,Spring 2025,3.89,A,0.57,1.0,0.96,0.49
ENROLL_00000103,STU_000023,COURSE_000007,Summer 2025,3.41,A-,0.98,0.75,0.78,0.81
ENROLL_00000104,STU_000023,COURSE_000040,Spring 2025,3.68,A-,0.91,0.7,0.83,0.85
ENROLL_00000105,STU_000023,COURSE_000077,Summer 2025,3.05,B+,0.86,1.0,0.92,1.0
ENROLL_00000106,STU_000023,COURSE_000032,Summer 2025,3.51,A-,0.77,0.71,0.57,0.74
ENROLL_00000107,STU_000023,COURSE_000095,Summer 2025,3.35,A-,1.0,0.29,0.51,0.95
ENROLL_00000108,STU_000023,COURSE_000097,Fall 2024,3.77,A,0.86,0.88,0.89,0.87
ENROLL_00000109,STU_000024,COURSE_000015,Fall 2024,2.6,B-,0.97,0.64,0.89,0.88
ENROLL_00000110,STU_000024,COURSE_000021,Spring 2025,2.93,B,0.84,0.33,0.89,0.68
ENROLL_00000111,STU_000024,COURSE_000017,Fall 2024,2.88,B,0.87,1.0,0.71,0.64
ENROLL_00000112,STU_000024,COURSE_000115,Fall 2024,2.06,C+,0.55,0.64,0.66,0.41
ENROLL_00000113,STU_000024,COURSE_000037,Fall 2024,2.51,B-,0.84,0.75,0.64,0.31
ENROLL_00000114,STU_000025,COURSE_000048,Fall 2024,3.13,B+,0.63,0.61,0.83,0.87
ENROLL_00000115,STU_000025,COURSE_000035,Fall 2024,3.22,B+,0.78,0.67,0.64,0.65
ENROLL_00000116,STU_000025,COURSE_000114,Summer 2025,2.89,B,0.5,0.81,0.92,0.93
ENROLL_00000117,STU_000025,COURSE_000109,Fall 2024,2.7,B,0.86,0.61,0.93,0.75
ENROLL_00000118,STU_000026,COURSE_000066,Summer 2025,3.57,A-,0.98,0.22,0.74,0.84
ENROLL_00000119,STU_000026,COURSE_000047,Summer 2025,3.35,A-,0.65,1.0,0.26,1.0
ENROLL_00000120,STU_000026,COURSE_000105,Summer 2025,2.89,B,0.78,0.48,0.99,1.0
ENROLL_00000121,STU_000027,COURSE_000011,Summer 2025,4.0,A,0.98,0.47,0.63,0.92
ENROLL_00000122,STU_000027,COURSE_000117,Spring 2025,3.8,A,1.0,0.6,0.63,0.98
ENROLL_00000123,STU_000027,COURSE_000055,Fall 2024,4.0,A,1.0,1.0,0.43,0.71
ENROLL_00000124,STU_000027,COURSE_000004,Spring 2025,3.38,A-,0.83,0.9,0.66,0.78
ENROLL_00000125,STU_000027,COURSE_000121,Spring 2025,3.75,A,1.0,0.65,0.92,0.65
ENROLL_00000126,STU_000027,COURSE_000086,Summer 2025,3.59,A-,0.62,0.83,0.49,1.0
ENROLL_00000127,STU_000027,COURSE_000078,Spring 2025,3.54,A-,0.69,1.0,0.71,0.34
ENROLL_00000128,STU_000028,COURSE_000081,Spring 2025,3.03,B+,0.85,1.0,0.62,0.91
ENROLL_00000129,STU_000028,COURSE_000057,Spring 2025,3.45,A-,1.0,0.93,0.72,1.0
ENROLL_00000130,STU_000028,COURSE_000090,Fall 2024,3.61,A-,1.0,0.98,0.71,0.89
ENROLL_00000131,STU_000028,COURSE_000106,Spring 2025,3.06,B+,0.78,0.59,0.52,0.96
ENROLL_00000132,STU_000029,COURSE_000113,Spring 2025,3.6,A-,0.75,0.93,1.0,0.65
ENROLL_00000133,STU_000029,COURSE_000077,Summer 2025,3.16,B+,0.89,0.85,0.88,0.9
ENROLL_00000134,STU_000029,COURSE_000124,Spring 2025,3.19,B+,0.83,0.95,0.75,1.0
ENROLL_00000135,STU_000029,COURSE_000008,Spring 2025,2.66,B-,1.0,0.8,0.86,1.0
